ID;NAME;DESCRIPTION;PARENTCODE;ORDER
TOTAL;Andalucía/Provincias Andalucía (usar en consultas provinciales);(TOTAL) Andalucía/Provincias Andalucía (usar en consultas provinciales);;0
C01;Andalucía;(C01) Andalucía;;1
04;Almería;(04) Almería;;2
11;Cádiz;(11) Cádiz;;3
14;Córdoba;(14) Córdoba;;4
18;Granada;(18) Granada;;5
21;Huelva;(21) Huelva;;6
23;Jaén;(23) Jaén;;7
29;Málaga;(29) Málaga;;8
41;Sevilla;(41) Sevilla;;9
C01NC;Provincia sin especificar;(C01NC) Provincia sin especificar;;10
_Z;No aplica;No aplica;;
